Datum,Temperatur,Monat,Jahreszeit,Frühling,Sommer,Herbst,Winter,Temp_warm,Temp_cold,Temp_average
2012-05-18,16.2125,5,Frühling,1,0,0,0,0,0,1
2012-05-19,17.7625,5,Frühling,1,0,0,0,1,0,0
2012-05-20,18.475,5,Frühling,1,0,0,0,1,0,0
2012-05-21,18.514285,5,Frühling,1,0,0,0,1,0,0
2012-05-22,19.2,5,Frühling,1,0,0,0,1,0,0
2012-05-23,18.2375,5,Frühling,1,0,0,0,1,0,0
2012-05-24,18.8625,5,Frühling,1,0,0,0,1,0,0
2012-05-25,19.85,5,Frühling,1,0,0,0,1,0,0
2012-05-26,21.45,5,Frühling,1,0,0,0,1,0,0
2012-05-27,19.875,5,Frühling,1,0,0,0,1,0,0
2012-05-28,22.8375,5,Frühling,1,0,0,0,1,0,0
2012-05-29,15.35,5,Frühling,1,0,0,0,0,0,1
2012-05-30,12.9375,5,Frühling,1,0,0,0,0,0,1
2012-05-31,13.2625,5,Frühling,1,0,0,0,0,0,1
2012-06-01,12.8875,6,Sommer,0,1,0,0,0,1,0
2012-06-02,12.4625,6,Sommer,0,1,0,0,0,1,0
2012-06-03,12.35,6,Sommer,0,1,0,0,0,1,0
2012-06-04,13.2125,6,Sommer,0,1,0,0,0,1,0
2012-06-05,13.2125,6,Sommer,0,1,0,0,0,1,0
2012-06-06,13.8375,6,Sommer,0,1,0,0,0,1,0
2012-06-07,15.1875,6,Sommer,0,1,0,0,0,1,0
2012-06-08,19.3375,6,Sommer,0,1,0,0,0,0,1
2012-06-09,14.6,6,Sommer,0,1,0,0,0,1,0
2012-06-10,15.0,6,Sommer,0,1,0,0,0,1,0
2012-06-11,16.525,6,Sommer,0,1,0,0,0,0,1
2012-06-12,14.1125,6,Sommer,0,1,0,0,0,1,0
2012-06-13,15.1625,6,Sommer,0,1,0,0,0,1,0
2012-06-14,14.05,6,Sommer,0,1,0,0,0,1,0
2012-06-15,18.3125,6,Sommer,0,1,0,0,0,0,1
2012-06-16,18.4625,6,Sommer,0,1,0,0,0,0,1
2012-06-17,16.9625,6,Sommer,0,1,0,0,0,0,1
2012-06-18,19.5875,6,Sommer,0,1,0,0,0,0,1
2012-06-19,17.3125,6,Sommer,0,1,0,0,0,0,1
2012-06-20,17.65,6,Sommer,0,1,0,0,0,0,1
2012-06-21,18.5125,6,Sommer,0,1,0,0,0,0,1
2012-06-22,18.325,6,Sommer,0,1,0,0,0,0,1
2012-06-23,16.8875,6,Sommer,0,1,0,0,0,0,1
2012-06-24,12.875,6,Sommer,0,1,0,0,0,1,0
2012-06-25,13.8875,6,Sommer,0,1,0,0,0,1,0
2012-06-26,14.3,6,Sommer,0,1,0,0,0,1,0
2012-06-27,14.5625,6,Sommer,0,1,0,0,0,1,0
2012-06-28,18.2625,6,Sommer,0,1,0,0,0,0,1
2012-06-29,22.75,6,Sommer,0,1,0,0,0,0,1
2012-06-30,23.1375,6,Sommer,0,1,0,0,0,0,1
2012-07-01,19.5125,7,Sommer,0,1,0,0,0,0,1
2012-07-02,19.4375,7,Sommer,0,1,0,0,0,0,1
2012-07-03,20.5375,7,Sommer,0,1,0,0,0,0,1
2012-07-04,19.95,7,Sommer,0,1,0,0,0,0,1
2012-07-05,17.2625,7,Sommer,0,1,0,0,0,0,1
2012-07-06,18.5375,7,Sommer,0,1,0,0,0,0,1
2012-07-07,20.7875,7,Sommer,0,1,0,0,0,0,1
2012-07-08,22.975,7,Sommer,0,1,0,0,0,0,1
2012-07-09,16.5,7,Sommer,0,1,0,0,0,0,1
2012-07-10,18.825,7,Sommer,0,1,0,0,0,0,1
2012-07-11,17.15,7,Sommer,0,1,0,0,0,0,1
2012-07-12,15.4875,7,Sommer,0,1,0,0,0,1,0
2012-07-13,17.0875,7,Sommer,0,1,0,0,0,0,1
2012-07-14,17.9125,7,Sommer,0,1,0,0,0,0,1
2012-07-15,16.375,7,Sommer,0,1,0,0,0,0,1
2012-07-16,16.875,7,Sommer,0,1,0,0,0,0,1
2012-07-17,17.1375,7,Sommer,0,1,0,0,0,0,1
2012-07-18,16.95,7,Sommer,0,1,0,0,0,0,1
2012-07-19,15.8125,7,Sommer,0,1,0,0,0,1,0
2012-07-20,15.25,7,Sommer,0,1,0,0,0,1,0
2012-07-21,16.1625,7,Sommer,0,1,0,0,0,1,0
2012-07-22,18.325,7,Sommer,0,1,0,0,0,0,1
2012-07-23,22.483333,7,Sommer,0,1,0,0,0,0,1
2012-07-25,25.65,7,Sommer,0,1,0,0,1,0,0
2012-07-26,22.5875,7,Sommer,0,1,0,0,0,0,1
2012-07-27,26.075,7,Sommer,0,1,0,0,1,0,0
2012-07-28,18.95,7,Sommer,0,1,0,0,0,0,1
2012-07-29,16.0375,7,Sommer,0,1,0,0,0,1,0
2012-07-30,15.1875,7,Sommer,0,1,0,0,0,1,0
2012-07-31,17.1625,7,Sommer,0,1,0,0,0,0,1
2012-08-01,21.0625,8,Sommer,0,1,0,0,0,0,1
2012-08-02,22.725,8,Sommer,0,1,0,0,0,0,1
2012-08-03,20.6875,8,Sommer,0,1,0,0,0,0,1
2012-08-04,18.225,8,Sommer,0,1,0,0,0,0,1
2012-08-05,21.6125,8,Sommer,0,1,0,0,0,0,1
2012-08-06,19.575,8,Sommer,0,1,0,0,0,0,1
2012-08-07,17.3125,8,Sommer,0,1,0,0,0,0,1
2012-08-08,17.9,8,Sommer,0,1,0,0,0,0,1
2012-08-09,18.35,8,Sommer,0,1,0,0,0,0,1
2012-08-10,17.3,8,Sommer,0,1,0,0,0,0,1
2012-08-11,18.85,8,Sommer,0,1,0,0,0,0,1
2012-08-12,19.7875,8,Sommer,0,1,0,0,0,0,1
2012-08-13,20.0375,8,Sommer,0,1,0,0,0,0,1
2012-08-14,20.1625,8,Sommer,0,1,0,0,0,0,1
2012-08-15,20.4,8,Sommer,0,1,0,0,0,0,1
2012-08-16,17.325,8,Sommer,0,1,0,0,0,0,1
2012-08-17,21.9375,8,Sommer,0,1,0,0,0,0,1
2012-08-18,27.525,8,Sommer,0,1,0,0,1,0,0
2012-08-19,26.875,8,Sommer,0,1,0,0,1,0,0
2012-08-20,26.15,8,Sommer,0,1,0,0,1,0,0
2012-08-21,20.8125,8,Sommer,0,1,0,0,0,0,1
2012-08-22,20.0125,8,Sommer,0,1,0,0,0,0,1
2012-08-23,19.8375,8,Sommer,0,1,0,0,0,0,1
2012-08-24,16.2625,8,Sommer,0,1,0,0,0,1,0
2012-08-25,18.8625,8,Sommer,0,1,0,0,0,0,1
2012-08-26,17.325,8,Sommer,0,1,0,0,0,0,1
2012-08-27,17.8625,8,Sommer,0,1,0,0,0,0,1
2012-08-28,19.5875,8,Sommer,0,1,0,0,0,0,1
2012-08-29,20.6625,8,Sommer,0,1,0,0,0,0,1
2012-08-30,19.2375,8,Sommer,0,1,0,0,0,0,1
2012-08-31,17.2875,8,Sommer,0,1,0,0,0,0,1
2012-09-01,16.6,9,Herbst,0,0,1,0,0,0,1
2012-09-02,19.15,9,Herbst,0,0,1,0,1,0,0
2012-09-03,19.475,9,Herbst,0,0,1,0,1,0,0
2012-09-04,20.5375,9,Herbst,0,0,1,0,1,0,0
2012-09-05,17.1375,9,Herbst,0,0,1,0,0,0,1
2012-09-06,16.1125,9,Herbst,0,0,1,0,0,0,1
2012-09-07,16.125,9,Herbst,0,0,1,0,0,0,1
2012-09-08,18.4625,9,Herbst,0,0,1,0,1,0,0
2012-09-09,21.075,9,Herbst,0,0,1,0,1,0,0
2012-09-10,23.125,9,Herbst,0,0,1,0,1,0,0
2012-09-11,17.0875,9,Herbst,0,0,1,0,0,0,1
2012-09-12,13.9625,9,Herbst,0,0,1,0,0,0,1
2012-09-13,15.1,9,Herbst,0,0,1,0,0,0,1
2012-09-14,13.7125,9,Herbst,0,0,1,0,0,0,1
2012-09-15,15.625,9,Herbst,0,0,1,0,0,0,1
2012-09-16,18.35,9,Herbst,0,0,1,0,1,0,0
2012-09-17,17.4375,9,Herbst,0,0,1,0,1,0,0
2012-09-18,15.0375,9,Herbst,0,0,1,0,0,0,1
2012-09-19,10.6375,9,Herbst,0,0,1,0,0,0,1
2012-09-20,11.4875,9,Herbst,0,0,1,0,0,0,1
2012-09-21,14.25,9,Herbst,0,0,1,0,0,0,1
2012-09-22,11.5,9,Herbst,0,0,1,0,0,0,1
2012-09-23,13.65,9,Herbst,0,0,1,0,0,0,1
2012-09-24,10.4125,9,Herbst,0,0,1,0,0,0,1
2012-09-25,14.925,9,Herbst,0,0,1,0,0,0,1
2012-09-26,12.5625,9,Herbst,0,0,1,0,0,0,1
2012-09-27,13.2,9,Herbst,0,0,1,0,0,0,1
2012-09-28,13.5625,9,Herbst,0,0,1,0,0,0,1
2012-09-29,13.2625,9,Herbst,0,0,1,0,0,0,1
2012-09-30,13.875,9,Herbst,0,0,1,0,0,0,1
2012-10-01,13.8625,10,Herbst,0,0,1,0,0,0,1
2012-10-02,15.1625,10,Herbst,0,0,1,0,0,0,1
2012-10-03,14.175,10,Herbst,0,0,1,0,0,0,1
2012-10-04,10.45,10,Herbst,0,0,1,0,0,0,1
2012-10-05,9.7375,10,Herbst,0,0,1,0,0,0,1
2012-10-08,12.4375,10,Herbst,0,0,1,0,0,0,1
2012-10-09,10.9875,10,Herbst,0,0,1,0,0,0,1
2012-10-10,10.1,10,Herbst,0,0,1,0,0,0,1
2012-10-11,11.4375,10,Herbst,0,0,1,0,0,0,1
2012-10-12,10.1375,10,Herbst,0,0,1,0,0,0,1
2012-10-15,9.5875,10,Herbst,0,0,1,0,0,0,1
2012-10-16,10.8875,10,Herbst,0,0,1,0,0,0,1
2012-10-17,12.1,10,Herbst,0,0,1,0,0,0,1
2012-10-18,16.775,10,Herbst,0,0,1,0,0,0,1
2012-10-19,19.35,10,Herbst,0,0,1,0,1,0,0
2012-10-22,12.675,10,Herbst,0,0,1,0,0,0,1
2012-10-23,11.8875,10,Herbst,0,0,1,0,0,0,1
2012-10-24,10.9875,10,Herbst,0,0,1,0,0,0,1
2012-10-25,8.7375,10,Herbst,0,0,1,0,0,0,1
2012-10-26,5.1875,10,Herbst,0,0,1,0,0,1,0
2012-10-29,3.625,10,Herbst,0,0,1,0,0,1,0
2012-10-30,7.0625,10,Herbst,0,0,1,0,0,1,0
2012-10-31,7.95,10,Herbst,0,0,1,0,0,0,1
2012-11-01,5.8125,11,Herbst,0,0,1,0,0,1,0
2012-11-02,7.475,11,Herbst,0,0,1,0,0,0,1
2012-11-05,6.5875,11,Herbst,0,0,1,0,0,1,0
2012-11-06,7.45,11,Herbst,0,0,1,0,0,0,1
2012-11-07,10.3,11,Herbst,0,0,1,0,0,0,1
2012-11-08,9.6625,11,Herbst,0,0,1,0,0,0,1
2012-11-09,9.5,11,Herbst,0,0,1,0,0,0,1
2012-11-12,7.3125,11,Herbst,0,0,1,0,0,0,1
2012-11-13,7.2,11,Herbst,0,0,1,0,0,1,0
2012-11-14,9.6625,11,Herbst,0,0,1,0,0,0,1
2012-11-15,8.7125,11,Herbst,0,0,1,0,0,0,1
2012-11-16,-0.275,11,Herbst,0,0,1,0,0,1,0
2012-11-19,6.125,11,Herbst,0,0,1,0,0,1,0
2012-11-20,7.675,11,Herbst,0,0,1,0,0,0,1
2012-11-21,6.1875,11,Herbst,0,0,1,0,0,1,0
2012-11-22,9.1,11,Herbst,0,0,1,0,0,0,1
2012-11-23,6.7,11,Herbst,0,0,1,0,0,1,0
2012-11-26,8.1625,11,Herbst,0,0,1,0,0,0,1
2012-11-27,7.625,11,Herbst,0,0,1,0,0,0,1
2012-11-28,5.325,11,Herbst,0,0,1,0,0,1,0
2012-11-29,3.4625,11,Herbst,0,0,1,0,0,1,0
2012-11-30,0.725,11,Herbst,0,0,1,0,0,1,0
2012-12-03,1.033333,12,Winter,0,0,0,1,0,0,1
2012-12-04,1.375,12,Winter,0,0,0,1,0,0,1
2012-12-05,-4.7875,12,Winter,0,0,0,1,0,1,0
2012-12-06,-4.45,12,Winter,0,0,0,1,0,1,0
2012-12-07,-1.7875,12,Winter,0,0,0,1,0,1,0
2012-12-10,0.1875,12,Winter,0,0,0,1,0,0,1
2012-12-11,-1.8625,12,Winter,0,0,0,1,0,1,0
2012-12-12,-5.7375,12,Winter,0,0,0,1,0,1,0
2012-12-13,-2.0625,12,Winter,0,0,0,1,0,1,0
2012-12-14,-2.6875,12,Winter,0,0,0,1,0,1,0
2012-12-17,4.1875,12,Winter,0,0,0,1,0,0,1
2012-12-18,3.6375,12,Winter,0,0,0,1,0,0,1
2012-12-19,2.8625,12,Winter,0,0,0,1,0,0,1
2012-12-20,2.0875,12,Winter,0,0,0,1,0,0,1
2012-12-21,-0.2125,12,Winter,0,0,0,1,0,1,0
2013-04-30,11.116666,4,Frühling,1,0,0,0,0,0,1
2013-05-01,9.9,5,Frühling,1,0,0,0,0,0,1
2013-05-02,11.0375,5,Frühling,1,0,0,0,0,0,1
2013-05-03,12.9125,5,Frühling,1,0,0,0,0,0,1
2013-05-04,17.95,5,Frühling,1,0,0,0,1,0,0
2013-05-05,16.2125,5,Frühling,1,0,0,0,0,0,1
2013-05-06,15.675,5,Frühling,1,0,0,0,0,0,1
2013-05-07,17.4125,5,Frühling,1,0,0,0,1,0,0
2013-05-08,18.8125,5,Frühling,1,0,0,0,1,0,0
2013-05-09,16.125,5,Frühling,1,0,0,0,0,0,1
2013-05-10,15.5,5,Frühling,1,0,0,0,0,0,1
2013-05-11,15.4125,5,Frühling,1,0,0,0,0,0,1
2013-05-12,11.7125,5,Frühling,1,0,0,0,0,0,1
2013-05-13,11.4375,5,Frühling,1,0,0,0,0,0,1
2013-05-14,12.6,5,Frühling,1,0,0,0,0,0,1
2013-05-15,20.5375,5,Frühling,1,0,0,0,1,0,0
2013-05-16,16.1625,5,Frühling,1,0,0,0,0,0,1
2013-05-17,21.3125,5,Frühling,1,0,0,0,1,0,0
2013-05-18,13.85,5,Frühling,1,0,0,0,0,0,1
2013-05-19,13.05,5,Frühling,1,0,0,0,0,0,1
2013-05-20,15.775,5,Frühling,1,0,0,0,0,0,1
2013-05-21,12.525,5,Frühling,1,0,0,0,0,0,1
2013-05-22,9.0625,5,Frühling,1,0,0,0,0,0,1
2013-05-23,10.525,5,Frühling,1,0,0,0,0,0,1
2013-05-24,12.5,5,Frühling,1,0,0,0,0,0,1
2013-05-25,11.3375,5,Frühling,1,0,0,0,0,0,1
2013-05-26,14.1625,5,Frühling,1,0,0,0,0,0,1
2013-05-27,14.7875,5,Frühling,1,0,0,0,0,0,1
2013-05-28,15.4,5,Frühling,1,0,0,0,0,0,1
2013-05-29,13.6625,5,Frühling,1,0,0,0,0,0,1
2013-05-30,16.125,5,Frühling,1,0,0,0,0,0,1
2013-05-31,17.65,5,Frühling,1,0,0,0,1,0,0
2013-06-01,20.3875,6,Sommer,0,1,0,0,0,0,1
2013-06-02,14.975,6,Sommer,0,1,0,0,0,1,0
2013-06-03,17.35,6,Sommer,0,1,0,0,0,0,1
2013-06-04,17.1625,6,Sommer,0,1,0,0,0,0,1
2013-06-05,19.0875,6,Sommer,0,1,0,0,0,0,1
2013-06-06,20.85,6,Sommer,0,1,0,0,0,0,1
2013-06-07,19.7,6,Sommer,0,1,0,0,0,0,1
2013-06-08,16.9625,6,Sommer,0,1,0,0,0,0,1
2013-06-09,15.8875,6,Sommer,0,1,0,0,0,1,0
2013-06-10,17.725,6,Sommer,0,1,0,0,0,0,1
2013-06-11,16.6625,6,Sommer,0,1,0,0,0,0,1
2013-06-12,22.35,6,Sommer,0,1,0,0,0,0,1
2013-06-14,16.7125,6,Sommer,0,1,0,0,0,0,1
2013-06-15,17.0875,6,Sommer,0,1,0,0,0,0,1
2013-06-16,15.5875,6,Sommer,0,1,0,0,0,1,0
2013-06-17,17.9,6,Sommer,0,1,0,0,0,0,1
2013-06-18,20.05,6,Sommer,0,1,0,0,0,0,1
2013-06-19,23.5375,6,Sommer,0,1,0,0,1,0,0
2013-06-20,21.8375,6,Sommer,0,1,0,0,0,0,1
2013-06-21,19.575,6,Sommer,0,1,0,0,0,0,1
2013-06-22,19.7375,6,Sommer,0,1,0,0,0,0,1
2013-06-23,17.5375,6,Sommer,0,1,0,0,0,0,1
2013-06-24,15.95,6,Sommer,0,1,0,0,0,1,0
2013-06-25,15.175,6,Sommer,0,1,0,0,0,1,0
2013-06-26,13.825,6,Sommer,0,1,0,0,0,1,0
2013-06-27,12.55,6,Sommer,0,1,0,0,0,1,0
2013-06-28,13.05,6,Sommer,0,1,0,0,0,1,0
2013-06-29,14.8375,6,Sommer,0,1,0,0,0,1,0
2013-06-30,14.0125,6,Sommer,0,1,0,0,0,1,0
2013-07-01,17.8375,7,Sommer,0,1,0,0,0,0,1
2013-07-02,17.3125,7,Sommer,0,1,0,0,0,0,1
2013-07-03,21.075,7,Sommer,0,1,0,0,0,0,1
2013-07-04,18.85,7,Sommer,0,1,0,0,0,0,1
2013-07-05,19.975,7,Sommer,0,1,0,0,0,0,1
2013-07-06,18.9625,7,Sommer,0,1,0,0,0,0,1
2013-07-07,21.375,7,Sommer,0,1,0,0,0,0,1
2013-07-08,22.725,7,Sommer,0,1,0,0,0,0,1
2013-07-09,23.275,7,Sommer,0,1,0,0,0,0,1
2013-07-10,19.6875,7,Sommer,0,1,0,0,0,0,1
2013-07-11,21.375,7,Sommer,0,1,0,0,0,0,1
2013-07-12,20.2875,7,Sommer,0,1,0,0,0,0,1
2013-07-13,20.125,7,Sommer,0,1,0,0,0,0,1
2013-07-14,17.6875,7,Sommer,0,1,0,0,0,0,1
2013-07-15,18.7375,7,Sommer,0,1,0,0,0,0,1
2013-07-16,21.1875,7,Sommer,0,1,0,0,0,0,1
2013-07-17,22.5125,7,Sommer,0,1,0,0,0,0,1
2013-07-18,23.25,7,Sommer,0,1,0,0,0,0,1
2013-07-19,22.475,7,Sommer,0,1,0,0,0,0,1
2013-07-20,23.1875,7,Sommer,0,1,0,0,0,0,1
2013-07-21,26.375,7,Sommer,0,1,0,0,1,0,0
2013-07-22,26.1,7,Sommer,0,1,0,0,1,0,0
2013-07-23,24.95,7,Sommer,0,1,0,0,1,0,0
2013-07-24,24.075,7,Sommer,0,1,0,0,1,0,0
2013-07-25,23.0875,7,Sommer,0,1,0,0,0,0,1
2013-07-26,27.2625,7,Sommer,0,1,0,0,1,0,0
2013-07-27,26.1625,7,Sommer,0,1,0,0,1,0,0
2013-07-28,24.8875,7,Sommer,0,1,0,0,1,0,0
2013-07-29,22.7875,7,Sommer,0,1,0,0,0,0,1
2013-07-30,21.075,7,Sommer,0,1,0,0,0,0,1
2013-07-31,20.275,7,Sommer,0,1,0,0,0,0,1
2013-08-01,23.4,8,Sommer,0,1,0,0,1,0,0
2013-08-02,31.4375,8,Sommer,0,1,0,0,1,0,0
